,name,team,position,total_points,minutes,goals_scored,assists,clean_sheets,saves,penalties_saved,penalties_missed,goals_conceded,own_goals,yellow_cards,red_cards,value,PV-ratio
246,Nayef Aguerd,West Ham,DEF,13,604,0,0,1,0,0,0,8,0,3,0,48,0.2708333333333333
247,Carlos Alcaraz,Southampton,MID,13,135,1,0,0,0,0,0,2,0,0,0,50,0.26
248,Diego Da Silva Costa,Wolves,FWD,13,708,0,0,2,0,0,0,10,0,2,1,54,0.24074074074074073
249,Alexandre Moreno Lopera,Aston Villa,DEF,13,322,0,1,1,0,0,0,4,0,1,0,44,0.29545454545454547
250,Wout Weghorst,Man Utd,FWD,13,454,0,1,3,0,0,0,5,0,0,0,59,0.22033898305084745
251,Deniz Undav,Brighton,FWD,12,241,0,0,1,0,0,0,1,0,0,0,51,0.23529411764705882
252,Maximilian Wöber,Leeds,DEF,12,429,0,0,1,0,0,0,5,0,1,0,45,0.26666666666666666
253,Oliver Skipp,Spurs,MID,12,285,0,0,2,0,0,0,3,0,3,0,43,0.27906976744186046
254,Mikkel Damsgaard,Brentford,MID,12,302,0,0,1,0,0,0,5,0,2,0,51,0.23529411764705882
255,Chris Richards,Crystal Palace,DEF,12,353,0,0,1,0,0,0,9,0,0,0,44,0.2727272727272727
256,Mateus Cardoso Lemos Martins,Leicester,MID,12,232,1,0,0,0,0,0,6,0,0,0,55,0.21818181818181817
257,Jack Colback,Nott'm Forest,MID,11,345,0,0,0,0,0,0,5,0,0,0,41,0.2682926829268293
258,Joe Rothwell,Bournemouth,MID,11,216,0,0,1,0,0,0,2,0,0,0,49,0.22448979591836735
259,Elliot Anderson,Newcastle,MID,11,135,0,0,0,0,0,0,5,0,0,0,44,0.25
260,Enzo Fernández,Chelsea,MID,11,270,0,1,1,0,0,0,2,0,0,0,50,0.22
261,Raúl Jiménez,Wolves,FWD,11,343,0,0,1,0,0,0,3,0,0,0,67,0.16417910447761194
262,Leandro Trossard,Arsenal,MID,11,148,1,0,0,0,0,0,5,0,0,0,66,0.16666666666666666
263,Diogo Teixeira da Silva,Liverpool,FWD,10,246,0,1,1,0,0,0,4,0,1,0,88,0.11363636363636363
264,João Félix Sequeira,Chelsea,FWD,9,237,1,0,0,0,0,0,4,0,0,1,76,0.11842105263157894
265,Lucas Rodrigues Moura da Silva,Spurs,MID,9,94,0,0,0,0,0,0,1,0,0,0,58,0.15517241379310345
266,Rob Holding,Arsenal,DEF,8,20,0,0,0,0,0,0,0,0,0,0,42,0.19047619047619047
267,João Victor Gomes da Silva,Wolves,MID,8,40,1,0,0,0,0,0,0,0,1,0,45,0.17777777777777778
268,Hamed Traorè,Bournemouth,MID,8,230,0,0,2,0,0,0,1,0,0,0,45,0.17777777777777778
269,Martin Dubravka,Newcastle,GK,8,66,0,0,1,5,0,0,0,0,0,0,41,0.1951219512195122
270,Marcel Sabitzer,Man Utd,MID,8,259,0,0,2,0,0,0,2,0,1,0,50,0.16
271,Fraser Forster,Spurs,GK,8,270,0,0,1,6,0,0,6,0,0,0,39,0.20512820512820512
272,Matheus Santos Carneiro Da Cunha,Wolves,FWD,8,318,0,0,1,0,0,0,5,0,0,0,55,0.14545454545454545
273,Jan Bednarek,Southampton,DEF,8,429,0,0,1,0,0,0,11,1,0,0,42,0.19047619047619047
274,Jorge Luiz Frello Filho,Arsenal,MID,8,211,0,1,0,0,0,0,6,0,0,0,58,0.13793103448275862
275,Pape Matar Sarr,Spurs,MID,6,145,0,0,0,0,0,0,3,0,1,0,42,0.14285714285714285
276,Junior Firpo Adames,Leeds,DEF,6,385,0,0,0,0,0,0,7,0,2,0,45,0.13333333333333333
277,Wesley Fofana,Chelsea,DEF,5,225,0,0,0,0,0,0,2,0,0,0,43,0.11627906976744186
278,Ellis Simms,Everton,FWD,5,84,0,0,0,0,0,0,2,0,0,0,45,0.1111111111111111
279,Pablo Sarabia,Wolves,MID,5,284,0,0,0,0,0,0,4,0,1,0,55,0.09090909090909091
280,Theo Walcott,Southampton,MID,5,168,0,0,0,0,0,0,4,0,1,0,48,0.10416666666666667
281,Noni Madueke,Chelsea,MID,5,175,0,0,0,0,0,0,2,0,0,0,55,0.09090909090909091
282,Mykhailo Mudryk,Chelsea,MID,5,172,0,0,0,0,0,0,1,0,0,0,69,0.07246376811594203
283,Antoine Semenyo,Bournemouth,FWD,4,133,0,0,0,0,0,0,1,0,0,0,50,0.08
284,Kamaldeen Sulemana,Southampton,MID,4,193,0,0,0,0,0,0,3,0,0,0,50,0.08
285,Danny Ings,West Ham,FWD,4,68,0,0,0,0,0,0,1,0,0,0,64,0.0625
286,Victor Kristiansen,Leicester,DEF,4,260,0,0,0,0,0,0,6,0,0,0,45,0.08888888888888889
287,Harry Souttar,Leicester,DEF,4,270,0,1,0,0,0,0,6,1,1,0,45,0.08888888888888889
288,Georginio Rutter,Leeds,FWD,4,94,0,0,0,0,0,0,3,0,0,0,54,0.07407407407407407
289,Paul Onuachu,Southampton,FWD,4,176,0,0,0,0,0,0,2,0,0,0,55,0.07272727272727272
290,Weston McKennie,Leeds,MID,4,284,0,0,0,0,0,0,5,0,3,0,50,0.08
291,Albert Sambi Lokonga,Crystal Palace,MID,4,114,0,0,1,0,0,0,1,0,1,0,43,0.09302325581395349
292,André Ayew,Nott'm Forest,MID,3,60,0,0,0,0,0,0,1,0,0,0,50,0.06
293,Felipe Augusto de Almeida Monteiro,Nott'm Forest,DEF,3,173,0,0,0,0,0,0,3,0,0,0,45,0.06666666666666667
294,Naouirou Ahamada,Crystal Palace,MID,3,24,0,0,0,0,0,0,1,0,0,0,45,0.06666666666666667
295,Kevin Schade,Brentford,MID,3,52,0,0,0,0,0,0,1,0,1,0,50,0.06
296,Jonjo Shelvey,Nott'm Forest,MID,3,105,0,0,0,0,0,0,2,0,0,0,48,0.0625
297,Matt Ritchie,Newcastle,DEF,3,22,0,0,0,0,0,0,0,0,0,0,42,0.07142857142857142
298,Jhon Durán,Aston Villa,FWD,3,50,0,0,0,0,0,0,2,0,0,0,55,0.05454545454545454
299,Danilo dos Santos de Oliveira,Nott'm Forest,MID,2,147,0,0,0,0,0,0,1,0,1,0,45,0.044444444444444446
300,Matías Viña,Bournemouth,DEF,2,14,0,0,0,0,0,0,1,0,0,0,45,0.044444444444444446
301,David Datro Fofana,Chelsea,FWD,2,60,0,0,0,0,0,0,1,0,0,0,50,0.04
302,Facundo Buonanotte,Brighton,MID,2,32,0,0,0,0,0,0,1,0,0,0,45,0.044444444444444446
303,Anthony Gordon,Newcastle,MID,2,101,0,0,0,0,0,0,0,0,1,0,51,0.0392156862745098
304,Kobbie Mainoo,Man Utd,MID,1,10,0,0,0,0,0,0,0,0,0,0,45,0.022222222222222223
